max_fare,PU_zone_name_max,DO_zone_name_max,min_fare,PU_zone_name_min,DO_zone_name_min,sum_fares,num_ccs,num_cash,day_avgs,source,month,year,url,filename
240.3,Jackson Heights,Jackson Heights,3.3,Randalls Island,Randalls Island,805448.6900000002,27792,19572,"[16.96115850760457, 17.452249817384956, 17.492816798361137, 17.250241960183768, 16.851590582830895, 16.577337045528992, 16.312606317275456]",green,11,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-11.csv,green-2020-11.csv
400.3,Mount Hope,Mount Hope,3.3,East Village,Crown Heights North,784225.8600000002,26181,18989,"[17.898793609390285, 17.410189389340783, 17.963516148689827, 17.045586294059824, 17.401644064958987, 16.76903554239171, 16.527162030258665]",green,12,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-12.csv,green-2020-12.csv
400.0,Bay Terrace/Fort Totten,Bay Terrace/Fort Totten,2.5,Central Harlem North,Central Harlem North,10059427.970000003,387054,236520,"[16.149710980290386, 16.712141215552727, 16.573805319159238, 16.449152860787006, 16.245506149685976, 15.113114184345815, 15.20872207799827]",green,01,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-01.csv,green-2019-01.csv
4012.3,Forest Park/Highland Park,Hollis,2.5,Long Island City/Queens Plaza,Long Island City/Queens Plaza,9572145.790000001,354053,214054,"[16.996358520468466, 17.26307808551106, 17.09224051788331, 17.438405278039586, 16.91045104711199, 15.903206135254479, 16.313121709863935]",green,02,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-02.csv,green-2019-02.csv
890.3,Long Island City/Queens Plaza,Long Island City/Queens Plaza,2.5,Astoria Park,Astoria Park,9925548.980000002,357666,234678,"[16.948119102232805, 17.20742926595999, 17.14749337238367, 17.213593631446265, 16.883574571713336, 16.00332655567411, 16.09161823131254]",green,03,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-03.csv,green-2019-03.csv
2438.8,Randalls Island,Randalls Island,2.5,Long Island City/Queens Plaza,Long Island City/Queens Plaza,7952319.65,288840,217680,"[15.577643759474482, 15.923923291219673, 16.14035573527904, 15.924038445395789, 15.511137980276981, 15.376758864655582, 15.40670933949161]",green,04,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-04.csv,green-2019-04.csv
1541.3,Randalls Island,Randalls Island,2.5,Long Island City/Queens Plaza,Long Island City/Queens Plaza,7996848.880000002,280642,216954,"[16.002109400007118, 16.425626974927358, 16.33789979071772, 16.39980541295039, 16.36180465265596, 15.471500577595156, 15.153311641613024]",green,05,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-05.csv,green-2019-05.csv
2109.8,Randalls Island,Randalls Island,2.5,Long Island City/Queens Plaza,Long Island City/Queens Plaza,7466408.020000003,255577,208576,"[16.326542145105044, 16.24156894718185, 16.33210937245844, 16.58021007763739, 16.418111835651224, 15.466766309253043, 15.480037770121243]",green,06,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-06.csv,green-2019-06.csv
1467.8,Randalls Island,Randalls Island,2.5,Long Island City/Queens Plaza,Long Island City/Queens Plaza,6716208.710000004,234950,191494,"[15.668053394517719, 15.936353579659508, 16.020676124189507, 15.851982728331826, 15.930669451904906, 15.382862417778696, 15.308486260841372]",green,07,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2019-07.csv,green-2019-07.csv
735.3,Randalls Island,Randalls Island,2.5,Long Island City/Queens Plaza,Long Island City/Queens Plaza,6145484.610000001,212946,179125,"[15.800461020800562, 15.81725885479384, 15.519528620867977, 15.917356658103033, 15.791009500850826, 15.494677501650761, 15.271652984042065]",green,08,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2019-08.csv,green-2019-08.csv
1600.8,Randalls Island,Randalls Island,2.5,East Harlem South,East Harlem South,6053885.410000002,214063,169085,"[15.45939964633068, 15.901490987977214, 15.860869014246765, 15.874388239358515, 15.849172042075985, 15.619960301849007, 16.053367043112107]",green,09,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2019-09.csv,green-2019-09.csv
2878.3,Randalls Island,Randalls Island,2.5,Charleston/Tottenville,Charleston/Tottenville,5891189.7299999995,213236,167843,"[15.414185788561529, 15.280189146816369, 15.276089961997119, 15.61186037164147, 15.768643750898896, 15.40852030751646, 15.445673879587746]",green,10,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2019-10.csv,green-2019-10.csv
499.0,Flushing,Flushing,2.5,Forest Park/Highland Park,Forest Park/Highland Park,5460324.730000001,196642,160213,"[15.295333302852963, 15.487706193995686, 15.49343296152503, 15.511563072645703, 15.180408771556316, 15.07799330118315, 15.171643037292787]",green,11,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2019-11.csv,green-2019-11.csv
